symbol,timeframe,metric,count,mean,std,min,q25,median,q75,max,null_count
SOLUSDT,4h,candle_body_return,9684,0.000373649621490449,0.0234473264205361,-0.198503740648379,-0.0101308829776926,0,0.0104773531436477,0.310343394030099,0
SOLUSDT,4h,candle_range,9684,0.0341768252013335,0.0296867266071332,0.00293685756240825,0.0178295646361696,0.026456120089853,0.0407030427185759,0.784905660377358,0
SOLUSDT,4h,close_price_usd,9684,102.57986452912,71.0749932254388,1.6029,31.14075,103.945,158.65,286.24,0
SOLUSDT,4h,close_to_close_return,9679,0.000369779348491449,0.023437439212961,-0.198503740648379,-0.0101290899384213,0,0.0104771727919222,0.308113716538701,5
SOLUSDT,4h,context_age_hours,9684,34,6.8316532486417,24,28,34,40,44,0
SOLUSDT,4h,context_age_since_d1_hours,9684,10,6.8316532486417,0,4,10,16,20,0
SOLUSDT,4h,lower_wick_relative,9684,0.00915468079946968,0.0113239933072655,0,0.00311270740568446,0.00636617764349206,0.0115506855017332,0.396946043738479,0
SOLUSDT,4h,quote_volume,9684,73138026.3043536,89816789.1042036,458379.026066,18921121.290075,48226227.29265,95204274.2774675,1742985005.28358,0
SOLUSDT,4h,taker_buy_share,0,,,,,,,,9684
SOLUSDT,4h,trade_count,9684,173974.269516729,237552.851692297,2495,33072,91006,229295.25,4285584,0
SOLUSDT,4h,upper_wick_relative,9684,0.00849800018830378,0.00974703828804234,0,0.00283219871940289,0.0058682576305429,0.0108695652173913,0.15870701948978,0
