split,symbol,timeframe,context_variant,signal_id,holding_bars,signal_count,executable_signal_count,rejected_boundary_count,rejected_overlap_count
validation,BTCUSDT,4h,sensitivity_d2,momentum_return_12_positive,6,1087,202,9,876
validation,BTCUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,1,20,20,0,0
validation,BTCUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,3,20,20,0,0
validation,BTCUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,6,20,20,0,0
validation,ETHUSDT,1h,primary_d1,breakout_close_above_prior_high_20,12,290,164,0,126
validation,ETHUSDT,1h,primary_d1,breakout_close_above_prior_high_20,24,290,136,0,154
validation,ETHUSDT,1h,primary_d1,breakout_close_above_prior_high_20,4,290,196,0,94
validation,ETHUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,12,252,55,0,197
validation,ETHUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,24,252,49,0,203
validation,ETHUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,4,252,82,0,170
validation,ETHUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,12,314,75,0,239
validation,ETHUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,24,314,65,0,249
validation,ETHUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,4,314,113,0,201
validation,ETHUSDT,1h,primary_d1,momentum_return_12_positive,12,3935,465,2,3468
validation,ETHUSDT,1h,primary_d1,momentum_return_12_positive,24,3935,273,18,3644
validation,ETHUSDT,1h,primary_d1,momentum_return_12_positive,4,3935,1006,1,2928
validation,ETHUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,12,92,91,0,1
validation,ETHUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,24,92,87,0,5
validation,ETHUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,4,92,92,0,0
validation,ETHUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,12,290,164,0,126
validation,ETHUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,24,290,136,0,154
validation,ETHUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,4,290,196,0,94
validation,ETHUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,12,252,55,0,197
validation,ETHUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,24,252,49,0,203
validation,ETHUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,4,252,82,0,170
validation,ETHUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,12,314,75,0,239
validation,ETHUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,24,314,65,0,249
validation,ETHUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,4,314,113,0,201
validation,ETHUSDT,1h,sensitivity_d2,momentum_return_12_positive,12,3935,465,2,3468
validation,ETHUSDT,1h,sensitivity_d2,momentum_return_12_positive,24,3935,273,18,3644
validation,ETHUSDT,1h,sensitivity_d2,momentum_return_12_positive,4,3935,1006,1,2928
validation,ETHUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,12,92,91,0,1
validation,ETHUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,24,92,87,0,5
validation,ETHUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,4,92,92,0,0
validation,ETHUSDT,4h,primary_d1,breakout_close_above_prior_high_20,1,86,69,0,17
validation,ETHUSDT,4h,primary_d1,breakout_close_above_prior_high_20,3,86,57,0,29
validation,ETHUSDT,4h,primary_d1,breakout_close_above_prior_high_20,6,86,49,0,37
validation,ETHUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,1,228,131,0,97
validation,ETHUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,3,228,81,0,147
validation,ETHUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,6,228,58,0,170
validation,ETHUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,1,74,44,0,30
validation,ETHUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,3,74,30,0,44
validation,ETHUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,6,74,21,0,53
validation,ETHUSDT,4h,primary_d1,momentum_return_12_positive,1,1015,552,0,463
validation,ETHUSDT,4h,primary_d1,momentum_return_12_positive,3,1015,311,1,703
validation,ETHUSDT,4h,primary_d1,momentum_return_12_positive,6,1015,197,0,818
validation,ETHUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,1,21,21,0,0
validation,ETHUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,3,21,21,0,0
validation,ETHUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,6,21,21,0,0
validation,ETHUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,1,86,69,0,17
validation,ETHUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,3,86,57,0,29
validation,ETHUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,6,86,49,0,37
validation,ETHUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,1,228,131,0,97
validation,ETHUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,3,228,81,0,147
validation,ETHUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,6,228,58,0,170
validation,ETHUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,1,74,44,0,30
validation,ETHUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,3,74,30,0,44
