split,symbol,timeframe,strategy_type,strategy_id,holding_bars,cost_scenario,d1_trade_count,d2_trade_count,trade_count_delta,d1_average_net_return,d2_average_net_return,average_net_return_delta
development,ETHUSDT,4h,baseline,periodic_entry_baseline,1,low_20bps,82,82,0,-0.0058419867208859295,-0.0058419867208859295,0
development,ETHUSDT,4h,baseline,periodic_entry_baseline,3,base_30bps,82,82,0,-0.0037087879423695867,-0.0037087879423695867,0
development,ETHUSDT,4h,baseline,periodic_entry_baseline,3,high_50bps,82,82,0,-0.005699381266106222,-0.005699381266106222,0
development,ETHUSDT,4h,baseline,periodic_entry_baseline,3,low_20bps,82,82,0,-0.002711997836864139,-0.002711997836864139,0
development,ETHUSDT,4h,baseline,periodic_entry_baseline,6,base_30bps,82,82,0,0.0020979119595234252,0.0020979119595234252,0
development,ETHUSDT,4h,baseline,periodic_entry_baseline,6,high_50bps,82,82,0,9.5716829088364792e-05,9.5716829088364792e-05,0
development,ETHUSDT,4h,baseline,periodic_entry_baseline,6,low_20bps,82,82,0,0.0031005116726393598,0.0031005116726393598,0
development,ETHUSDT,4h,baseline,segment_buy_and_hold,,base_30bps,4,4,0,0.13145032353632036,0.13145032353632036,0
development,ETHUSDT,4h,baseline,segment_buy_and_hold,,high_50bps,4,4,0,0.12918968183546709,0.12918968183546709,0
development,ETHUSDT,4h,baseline,segment_buy_and_hold,,low_20bps,4,4,0,0.13258234043431408,0.13258234043431408,0
development,ETHUSDT,4h,signal,breakout_close_above_prior_high_20,1,base_30bps,132,132,0,-0.0043604777308361726,-0.0043604777308361726,0
development,ETHUSDT,4h,signal,breakout_close_above_prior_high_20,1,high_50bps,132,132,0,-0.0063497689760977898,-0.0063497689760977898,0
development,ETHUSDT,4h,signal,breakout_close_above_prior_high_20,1,low_20bps,132,132,0,-0.0033643396414532751,-0.0033643396414532751,0
development,ETHUSDT,4h,signal,breakout_close_above_prior_high_20,3,base_30bps,105,105,0,-0.0043066690086845157,-0.0043066690086845157,0
development,ETHUSDT,4h,signal,breakout_close_above_prior_high_20,3,high_50bps,105,105,0,-0.0062960677639610713,-0.0062960677639610713,0
development,ETHUSDT,4h,signal,breakout_close_above_prior_high_20,3,low_20bps,105,105,0,-0.0033104770836347264,-0.0033104770836347264,0
development,ETHUSDT,4h,signal,breakout_close_above_prior_high_20,6,base_30bps,89,89,0,-0.012574361705860173,-0.012574361705860173,0
development,ETHUSDT,4h,signal,breakout_close_above_prior_high_20,6,high_50bps,89,89,0,-0.014547241582232091,-0.014547241582232091,0
development,ETHUSDT,4h,signal,breakout_close_above_prior_high_20,6,low_20bps,89,89,0,-0.011586441613559833,-0.011586441613559833,0
development,ETHUSDT,4h,signal,mean_reversion_close_2pct_below_sma20,1,base_30bps,528,528,0,-0.0049894178873775719,-0.0049894178873775719,0
