split,symbol,timeframe,context_variant,strategy_type,strategy_id,holding_bars,cost_scenario,signal_count,executable_signal_count,rejected_signal_count,trade_count,hit_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,cumulative_net_return,trade_return_volatility,maximum_drawdown,profit_factor,profit_factor_status,cost_burden,exposure_hours,covered_segment_count,segment_mean_min,segment_mean_median,segment_mean_max,positive_segment_share,uncertainty_note
development,ALL,1h,primary_d1,signal,momentum_return_12_positive,24,base_30bps,19077,1318,17759,1318,0.4332321699544765,-0.00061874682895464743,-0.002217374004800432,-0.0036123986139641579,-0.0052062370937209224,,0.056978499658509249,,0.82706777423014277,DEFINED,0.00299365178500951,31632,4,-0.0075324254201217869,-8.5280640714899183e-05,0.027560761179495033,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,momentum_return_12_positive,24,high_50bps,19077,1318,17759,1318,0.41274658573596357,-0.00061874682895464743,-0.002217374004800432,-0.0056031845239158237,-0.00719383850881955,,0.056864656417051247,,0.74529357902906013,DEFINED,0.0049844376949611758,31632,4,-0.0095153791028142285,-0.0020831137447044194,0.025507691187325612,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,momentum_return_12_positive,24,low_20bps,19077,1318,17759,1318,0.44613050075872535,-0.00061874682895464743,-0.002217374004800432,-0.0026155120708633022,-0.0042109451872153758,,0.057035506690187109,,0.87146614528623945,DEFINED,0.0019967652419086547,31632,4,-0.006539460866782967,0.00091513478656573795,0.028588836492368642,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,momentum_return_12_positive,4,base_30bps,19077,4823,14254,4823,0.37445573294629897,0.00016918161800977104,-0.00048422148860560732,-0.0028268304107948177,-0.0034782762449777627,,0.022533013366065422,,0.67956729358220069,DEFINED,0.0029960120288045891,19292,4,-0.003480735262541296,-0.0018305586939931083,-0.0010029118723084525,0,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,momentum_return_12_positive,4,high_50bps,19077,4823,14254,4823,0.32220609579100146,0.00016918161800977104,-0.00048422148860560732,-0.0048191858887619851,-0.0054693301318913257,,0.022487992326606969,,0.52301896478415166,DEFINED,0.0049883675067717553,19292,4,-0.0054717842363292716,-0.0038249047263324222,-0.0029989115458901108,0,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,momentum_return_12_positive,4,low_20bps,19077,4823,14254,4823,0.40534936761351853,0.00016918161800977104,-0.00048422148860560732,-0.0018291579061170224,-0.0024812555123457924,,0.022555557662852027,,0.77749306262006468,DEFINED,0.0019983395241267932,19292,4,-0.0024837169901585103,-0.00083188941871482599,-3.4145357638236264e-06,0,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,trend_sma20_cross_above_sma50,12,base_30bps,461,446,15,446,0.43049327354260092,-0.00016596972801353983,-2.1030892270124113e-05,-0.0031609778092034548,-0.0030164731385025623,,0.034339569295038869,,0.77287397822014003,DEFINED,0.002995008081189915,5352,4,-0.005609682972176855,-0.0030456955530297142,0.0070693974409782841,0.25,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,trend_sma20_cross_above_sma50,12,high_50bps,461,446,15,446,0.3991031390134529,-0.00016596972801353983,-2.1030892270124113e-05,-0.0051526656595007551,-0.0050084497096370417,,0.034270958715570329,,0.65795169080364424,DEFINED,0.0049866959314872148,5352,4,-0.0075964783010002632,-0.0050376137376777867,0.0050572692651758852,0.25,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,trend_sma20_cross_above_sma50,12,low_20bps,461,446,15,446,0.44394618834080718,-0.00016596972801353983,-2.1030892270124113e-05,-0.0021636396192485858,-0.0020189903715161495,,0.034373926059894727,,0.83815043634284025,DEFINED,0.0019976698912350459,5352,4,-0.0046147947135755912,-0.0020482420230910126,0.0080769711290501426,0.25,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,trend_sma20_cross_above_sma50,24,base_30bps,461,430,31,430,0.45813953488372094,0.0018825199770762175,0.00072682901128684474,-0.0011186243657683545,-0.0022708534532085989,,0.057673032650863758,,0.94385705368895267,DEFINED,0.003001144342844572,10320,4,-0.010829791782521352,-0.00059509525043221828,0.056323347220646885,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,trend_sma20_cross_above_sma50,24,high_50bps,461,430,31,430,0.43720930232558142,0.0018825199770762175,0.00072682901128684474,-0.0031143928453836746,-0.0042643197750802941,,0.057557801730059636,,0.85164834954419766,DEFINED,0.0049969128224598919,10320,4,-0.012806157315697387,-0.0025919097430497314,0.054212809481041783,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,trend_sma20_cross_above_sma50,24,low_20bps,461,430,31,430,0.47674418604651164,0.0018825199770762175,0.00072682901128684474,-0.00011924279966027962,-0.0012726246931674678,,0.057730734563321812,,0.99385632572135185,DEFINED,0.002001762776736497,10320,4,-0.0098401262467031885,0.00040481010694872551,0.057380199522444594,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,trend_sma20_cross_above_sma50,4,base_30bps,461,457,4,457,0.39168490153172869,0.0020441789528744545,0.00020489664317424605,-0.00095744964027992356,-0.0027912223701754835,,0.019698782728427591,,0.87088492162258946,DEFINED,0.0030016285931543782,1828,4,-0.001609529867098163,-0.0011314278369241634,0.0017312349710147843,0.25,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,trend_sma20_cross_above_sma50,4,high_50bps,461,457,4,457,0.35010940919037198,0.0020441789528744545,0.00020489664317424605,-0.0029535401475600802,-0.0047836489931322168,,0.019659424491688789,,0.65916416461102789,DEFINED,0.0049977191004345342,1828,4,-0.0036043175158061123,-0.003127170735159372,-0.00027022753751570014,0,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,trend_sma20_cross_above_sma50,4,low_20bps,461,457,4,457,0.43544857768052514,0.0020441789528744545,0.00020489664317424605,4.209318126198273e-05,-0.0017935142396262593,,0.019718491375333786,,1.006161558919465,DEFINED,0.0020020857716124716,1828,4,-0.00061063945231266221,-0.00013205908069859298,0.0027334678235285082,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,sensitivity_d2,baseline,always_flat,,base_30bps,0,0,0,0,,,,,,,,,,NO_TRADES,0,0,0,,,,,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,sensitivity_d2,baseline,always_flat,,high_50bps,0,0,0,0,,,,,,,,,,NO_TRADES,0,0,0,,,,,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,sensitivity_d2,baseline,always_flat,,low_20bps,0,0,0,0,,,,,,,,,,NO_TRADES,0,0,0,,,,,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,sensitivity_d2,baseline,periodic_entry_baseline,12,base_30bps,246,246,0,246,0.45528455284552843,-0.00048091168468549828,0.00030645954754482396,-0.0034749763555925314,-0.0026899636980176056,,0.047150831958881929,,0.8028312601568337,DEFINED,0.0029940646709070333,2952,4,-0.029271965709505219,8.8682187647453649e-05,0.0090482433485853525,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,sensitivity_d2,baseline,periodic_entry_baseline,12,high_50bps,246,246,0,246,0.42276422764227645,-0.00048091168468549828,0.00030645954754482396,-0.0054660368356967111,-0.004682592636155114,,0.047056624431835552,,0.70803436195004854,DEFINED,0.0049851251510112139,2952,4,-0.031211483714719587,-0.0019094984946811597,0.007032161431743511,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
