source,symbol_or_asset,period,interval,object_type,url,local_path,expected_rows
Binance Public Data,BTCUSDT,2024-08,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-08.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-08.zip,744
Binance Public Data,BTCUSDT,2024-08,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-08.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-08.zip.CHECKSUM,744
Binance Public Data,BTCUSDT,2024-09,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-09.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-09.zip,720
Binance Public Data,BTCUSDT,2024-09,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-09.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-09.zip.CHECKSUM,720
Binance Public Data,BTCUSDT,2024-10,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-10.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-10.zip,744
Binance Public Data,BTCUSDT,2024-10,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-10.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-10.zip.CHECKSUM,744
Binance Public Data,BTCUSDT,2024-11,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-11.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-11.zip,720
Binance Public Data,BTCUSDT,2024-11,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-11.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-11.zip.CHECKSUM,720
Binance Public Data,BTCUSDT,2024-12,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-12.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-12.zip,744
Binance Public Data,BTCUSDT,2024-12,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-12.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-12.zip.CHECKSUM,744
Binance Public Data,BTCUSDT,2025-01,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2025-01.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2025-01.zip,744
